uri,text
http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing,E18 Physical Thing 
http://w3id.org/vir#IC12_Visual_Recognition,IC12 Visual Recognition 
http://w3id.org/vir#K9i_has_status_assigned_by,has status assigned by 
http://www.cidoc-crm.org/cidoc-crm/E36_Visual_Item,E36 Visual Item 
http://w3id.org/vir#K11i_was_assigned_by,was assigned by 
http://w3id.org/vir#K1_denotes,K1 denotes 
http://w3id.org/vir#K9_Assigned_status_to,Assigned status to 
http://w3id.org/vir#K11_assigned,assigned 
