community,cluster,doc,annotateddoc,frame,synset,synsetframe triplet,noun/verb w/o frame,adj/adv w/o frame
inferred_EDM2,0,Preview Landing Page Web Resource Is Shown By At Object,[Preview [P]] [Landing Page [P]] [Web Resource [C]] [Is Shown By [P]] [Is Shown At [P]] [Object [P]] ,"frame:Architectural_part,frame:Possession,frame:Cause_to_perceive,","wn30:synset-preview-noun-2,wn30:synset-landing-noun-1,wn30:synset-page-noun-1,wn30:synset-web-noun-1,wn30:synset-resource-noun-1,wn30:synset-show-verb-1,wn30:synset-by-adverb-1,wn30:synset-at-noun-2,wn30:synset-object-noun-1,","wn30:synset-landing-noun-1 - frame:Architectural_part - frame:Being_included
wn30:synset-resource-noun-1 - frame:Possession
wn30:synset-show-verb-1 - frame:Cause_to_perceive - frame:Event
","wn30:synset-preview-noun-2
wn30:synset-page-noun-1
wn30:synset-web-noun-1
wn30:synset-at-noun-2
wn30:synset-object-noun-1
","wn30:synset-by-adverb-1
"
inferred_EDM7,25,Happened At Event Occured Time Span Place,[Happened At [P]] [Event [C]] [Occured At [P]] [Time Span [C]] [Place [C]] ,"frame:Eventive_affecting,frame:Event,frame:Event,frame:Eventive_affecting,frame:Event,frame:Location_in_time,frame:Timespan,frame:Event_instance,frame:Placing,frame:Causation,","wn30:synset-happen-verb-1,wn30:synset-at-noun-2,wn30:synset-event-noun-1,wn30:synset-happen-verb-1,wn30:synset-time-noun-1,wn30:synset-cross-verb-5,wn30:synset-put-verb-1,","wn30:synset-happen-verb-1 - frame:Eventive_affecting - frame:Event
wn30:synset-happen-verb-1 - frame:Event - frame:State
wn30:synset-event-noun-1 - frame:Event - frame:State
wn30:synset-happen-verb-1 - frame:Eventive_affecting - frame:Event
wn30:synset-happen-verb-1 - frame:Event - frame:State
wn30:synset-time-noun-1 - frame:Location_in_time
wn30:synset-time-noun-1 - frame:Timespan
wn30:synset-time-noun-1 - frame:Event_instance - frame:Instance
wn30:synset-put-verb-1 - frame:Placing - frame:Event
wn30:synset-put-verb-1 - frame:Causation - frame:Event
","wn30:synset-at-noun-2
wn30:synset-cross-verb-5
",
inferred_EDM3,3,Aggregated Cultural Heritage Object Aggregation Provided CHO,[Aggregated Cultural Heritage Object [P]] [Aggregation [C]] [Provided CHO [C]] ,"frame:Amounting_to,frame:Aggregate,frame:Assistance,","wn30:synset-sum-noun-5,wn30:synset-cultural-adjective-1,wn30:synset-heritage-noun-1,wn30:synset-object-noun-1,wn30:synset-collection-noun-1,wn30:synset-provide-verb-2,","wn30:synset-sum-noun-5 - frame:Amounting_to
wn30:synset-collection-noun-1 - frame:Aggregate
wn30:synset-provide-verb-2 - frame:Assistance - frame:Event
","wn30:synset-heritage-noun-1
wn30:synset-object-noun-1
","wn30:synset-cultural-adjective-1
"
inferred_EDM6,3,Web Resource Aggregation Has View,[Web Resource [C]] [Aggregation [C]] [Has View [P]] ,"frame:Possession,frame:Aggregate,frame:Range,","wn30:synset-web-noun-1,wn30:synset-resource-noun-1,wn30:synset-collection-noun-1,wn30:synset-position-noun-3,","wn30:synset-resource-noun-1 - frame:Possession
wn30:synset-collection-noun-1 - frame:Aggregate
wn30:synset-position-noun-3 - frame:Range
","wn30:synset-web-noun-1
",
inferred_EDM5,3,Provider Aggregation Agent Data,[Provider [P]] [Aggregation [C]] [Agent [C]] [Data Provider [P]] ,"frame:Supply,frame:Aggregate,frame:Information,","wn30:synset-supplier-noun-1,wn30:synset-collection-noun-1,wn30:synset-agent-noun-1,wn30:synset-data-noun-1,","wn30:synset-supplier-noun-1 - frame:Supply - frame:Event
wn30:synset-collection-noun-1 - frame:Aggregate
wn30:synset-data-noun-1 - frame:Information - frame:Entity
","wn30:synset-agent-noun-1
",
inferred_EDM1,97,source Has Met language has Version Incorporates Is Similar To Successor Of Derivative P79 beginning is qualified by format Collection Name coverage Format creator relation type P138 represents P67 refers to Europeana URI replaces Rights contributor date P129 about Next In Sequence publisher proxy For table Contents subject Replaced By aggregates P80 end Proxy,[source [P]] [Has Met [P]] [language [P]] [has Version [P]] [Incorporates [P]] [Is Similar To [P]] [Is Successor Of [P]] [Is Derivative Of [P]] [P79 beginning is qualified by [P]] [format [P]] [Collection Name [P]] [coverage [P]] [has Format [P]] [creator [P]] [relation [P]] [type [P]] [P138 represents [P]] [P67 refers to [P]] [Europeana URI [P]] [is Version Of [P]] [replaces [P]] [Europeana Rights [P]] [contributor [P]] [date [P]] [P129 is about [P]] [Is Next In Sequence Of [P]] [is Format Of [P]] [publisher [P]] [proxy For [P]] [table Of Contents [P]] [subject [P]] [is Replaced By [P]] [aggregates [P]] [P80 end is qualified by [P]] [Europeana Proxy [P]] ,"frame:Origin,frame:Communication,frame:Type,frame:Similarity,frame:Origin,frame:Evaluative_comparison,frame:Arranging,frame:Aggregate,frame:Referring_by_name,frame:Being_named,frame:Arranging,frame:Religious_belief,frame:Relation,frame:Type,frame:Topic,frame:Degree,frame:Relational_quantity,frame:Relative_time,frame:Sequence,frame:Topic,frame:Amounting_to,frame:Process_end,","wn30:synset-beginning-noun-4,wn30:synset-language-noun-1,wn30:synset-version-noun-2,wn30:synset-integrate-verb-1,wn30:synset-similar-adjective-1,wn30:synset-successor-noun-1,wn30:synset-derived_function-noun-1,wn30:synset-beginning-noun-4,wn30:synset-qualify-verb-1,wn30:synset-by-adverb-1,wn30:synset-format-verb-1,wn30:synset-collection-noun-1,wn30:synset-name-noun-1,wn30:synset-coverage-noun-1,wn30:synset-format-verb-1,wn30:synset-Godhead-noun-1,wn30:synset-relation-noun-1,wn30:synset-type-noun-1,wn30:synset-represent-verb-4,wn30:synset-refer-verb-2,wn30:synset-replace-verb-1,wn30:synset-subscriber-noun-3,wn30:synset-date-noun-1,wn30:synset-approximately-adverb-1,wn30:synset-following-adjectivesatellite-2,wn30:synset-in-adverb-1,wn30:synset-sequence-noun-1,wn30:synset-publisher-noun-1,wn30:synset-proxy-noun-2,wn30:synset-table-noun-1,wn30:synset-contents-noun-1,wn30:synset-subject-noun-1,wn30:synset-replace-verb-1,wn30:synset-by-adverb-1,wn30:synset-sum-noun-5,wn30:synset-end-verb-1,wn30:synset-proxy-noun-2,","wn30:synset-beginning-noun-4 - frame:Origin
wn30:synset-language-noun-1 - frame:Communication - frame:Event
wn30:synset-version-noun-2 - frame:Type
wn30:synset-similar-adjective-1 - frame:Similarity - frame:Attributesframe:Reciprocality
wn30:synset-beginning-noun-4 - frame:Origin
wn30:synset-qualify-verb-1 - frame:Evaluative_comparison - frame:Attributes
wn30:synset-format-verb-1 - frame:Arranging - frame:Event
wn30:synset-collection-noun-1 - frame:Aggregate
wn30:synset-name-noun-1 - frame:Referring_by_name
wn30:synset-name-noun-1 - frame:Being_named
wn30:synset-format-verb-1 - frame:Arranging - frame:Event
wn30:synset-Godhead-noun-1 - frame:Religious_belief
wn30:synset-relation-noun-1 - frame:Relation - frame:Locale
wn30:synset-type-noun-1 - frame:Type
wn30:synset-refer-verb-2 - frame:Topic
wn30:synset-approximately-adverb-1 - frame:Degree
wn30:synset-approximately-adverb-1 - frame:Relational_quantity
wn30:synset-following-adjectivesatellite-2 - frame:Relative_time - frame:Relation
wn30:synset-sequence-noun-1 - frame:Sequence - frame:Relation
wn30:synset-subject-noun-1 - frame:Topic
wn30:synset-sum-noun-5 - frame:Amounting_to
wn30:synset-end-verb-1 - frame:Process_end - frame:Event
","wn30:synset-integrate-verb-1
wn30:synset-successor-noun-1
wn30:synset-derived_function-noun-1
wn30:synset-coverage-noun-1
wn30:synset-represent-verb-4
wn30:synset-replace-verb-1
wn30:synset-subscriber-noun-3
wn30:synset-date-noun-1
wn30:synset-publisher-noun-1
wn30:synset-proxy-noun-2
wn30:synset-table-noun-1
wn30:synset-contents-noun-1
wn30:synset-replace-verb-1
wn30:synset-proxy-noun-2
","wn30:synset-by-adverb-1
wn30:synset-in-adverb-1
wn30:synset-by-adverb-1
"
inferred_EDM4,3,Aggregated Cultural Heritage Object Europeana Aggregation Provided CHO,[Aggregated Cultural Heritage Object [P]] [Europeana Aggregation [C]] [Provided CHO [C]] ,"frame:Amounting_to,frame:Aggregate,frame:Assistance,","wn30:synset-sum-noun-5,wn30:synset-cultural-adjective-1,wn30:synset-heritage-noun-1,wn30:synset-object-noun-1,wn30:synset-collection-noun-1,wn30:synset-provide-verb-2,","wn30:synset-sum-noun-5 - frame:Amounting_to
wn30:synset-collection-noun-1 - frame:Aggregate
wn30:synset-provide-verb-2 - frame:Assistance - frame:Event
","wn30:synset-heritage-noun-1
wn30:synset-object-noun-1
","wn30:synset-cultural-adjective-1
"
inferred_EDM8,46,Physical Thing Information Resource Is Representation Of Realizes,[Physical Thing [C]] [Information Resource [C]] [Is Representation Of [P]] [Realizes [P]] ,"frame:Information,frame:Possession,frame:Communicate_categorization,","wn30:synset-physical-adjective-1,wn30:synset-thing-noun-1,wn30:synset-information-noun-1,wn30:synset-resource-noun-1,wn30:synset-representation-noun-1,wn30:synset-recognize-verb-2,","wn30:synset-information-noun-1 - frame:Information - frame:Entity
wn30:synset-resource-noun-1 - frame:Possession
wn30:synset-representation-noun-1 - frame:Communicate_categorization
","wn30:synset-thing-noun-1
wn30:synset-recognize-verb-2
","wn30:synset-physical-adjective-1
"
inferred_NOMISMA1,21,hasMinDepth hasIconography hasPeculiarityOfProduction hasPeculiarity hasControlmark has Material hasAppearance hasShape hasManufacture hasCollection hasWidth represents Object Type hasEdge hasSecondaryTreatment hasEndDate Max Width Die hasTypeSeriesItem hasDate hasFindspot Axis hasHeight hasMinWidth Portrait hasCorrosion hasFace hasWear hasDepth hasProductionObject Diameter Issuer hasBearsDate hasReferenceWork hasAuthority hasCountermark Context hasMaxHeight hasStartDate hasProductionDate hasFindType hasReverse hasMinHeight hasStatedAuthority hasMaxDepth hasObjectType hasWeight hasMinDiameter Mintmark hasObverse hasWeightStandard hasDenomination hasMaxDiameter hasMint Legend,[hasMinDepth [P]] [hasIconography [P]] [hasPeculiarityOfProduction [P]] [hasPeculiarity [P]] [hasControlmark [P]] [has Material [P]] [hasAppearance [P]] [hasShape [P]] [hasManufacture [P]] [hasCollection [P]] [hasWidth [P]] [represents Object Type [P]] [hasEdge [P]] [hasSecondaryTreatment [P]] [hasEndDate [P]] [has Max Width [P]] [has Die [P]] [hasTypeSeriesItem [P]] [hasDate [P]] [hasFindspot [P]] [has Axis [P]] [hasHeight [P]] [hasMinWidth [P]] [has Portrait [P]] [hasCorrosion [P]] [hasFace [P]] [hasWear [P]] [hasDepth [P]] [hasProductionObject [P]] [has Diameter [P]] [has Issuer [P]] [hasBearsDate [P]] [hasReferenceWork [P]] [hasAuthority [P]] [hasCountermark [P]] [has Context [P]] [hasMaxHeight [P]] [hasStartDate [P]] [hasProductionDate [P]] [hasFindType [P]] [hasReverse [P]] [hasMinHeight [P]] [hasStatedAuthority [P]] [hasMaxDepth [P]] [hasObjectType [P]] [hasWeight [P]] [hasMinDiameter [P]] [has Mintmark [P]] [hasObverse [P]] [hasWeightStandard [P]] [hasDenomination [P]] [hasMaxDiameter [P]] [hasMint [P]] [has Legend [P]] ,"frame:Ingredients,frame:Substance,frame:Representing,frame:Type,frame:Dimension,frame:Rotting,frame:Death,","wn30:synset-material-noun-1,wn30:synset-represent-verb-1,wn30:synset-object-noun-1,wn30:synset-type-noun-1,wn30:synset-soap-noun-3,wn30:synset-width-noun-1,wn30:synset-die-verb-1,wn30:synset-axis-noun-1,wn30:synset-portrait-noun-2,wn30:synset-diameter-noun-1,wn30:synset-issuer-noun-1,wn30:synset-context-noun-1,wn30:synset-mintmark-noun-1,wn30:synset-legend-noun-1,","wn30:synset-material-noun-1 - frame:Ingredients
wn30:synset-material-noun-1 - frame:Substance - frame:Entity
wn30:synset-represent-verb-1 - frame:Representing
wn30:synset-type-noun-1 - frame:Type
wn30:synset-width-noun-1 - frame:Dimension
wn30:synset-die-verb-1 - frame:Rotting - frame:Event
wn30:synset-die-verb-1 - frame:Death - frame:Event
","wn30:synset-object-noun-1
wn30:synset-soap-noun-3
wn30:synset-axis-noun-1
wn30:synset-portrait-noun-2
wn30:synset-diameter-noun-1
wn30:synset-issuer-noun-1
wn30:synset-context-noun-1
wn30:synset-mintmark-noun-1
wn30:synset-legend-noun-1
",
inferred_NOMISMA2,0,StratigraphicUnit isEqual isBelow is Above,[StratigraphicUnit [C]] [isEqual [P]] [isBelow [P]] [is Above [P]] ,"none,","wn30:synset-above-adverb-1,",,,"wn30:synset-above-adverb-1
"
inferred_HOLDING3,44,holds held by Item Agent,[holds [P]] [held by [P]] [Item [C]] [Agent [C]] ,"frame:Activity_ongoing,frame:Cause_to_continue,frame:Activity_ongoing,frame:Cause_to_continue,","wn30:synset-keep-verb-1,wn30:synset-keep-verb-1,wn30:synset-by-adverb-1,wn30:synset-item-noun-1,wn30:synset-agent-noun-1,","wn30:synset-keep-verb-1 - frame:Activity_ongoing - frame:Process_continue
wn30:synset-keep-verb-1 - frame:Cause_to_continue - frame:Event
wn30:synset-keep-verb-1 - frame:Activity_ongoing - frame:Process_continue
wn30:synset-keep-verb-1 - frame:Cause_to_continue - frame:Event
","wn30:synset-item-noun-1
wn30:synset-agent-noun-1
","wn30:synset-by-adverb-1
"
inferred_HOLDING2,91,has exemplar Document narrower of Item broader,[has exemplar [P]] [Document [C]] [narrower exemplar of [P]] [Item [C]] [broader exemplar of [P]] ,"frame:Exemplar,frame:Documents,","wn30:synset-exemplar-noun-1,wn30:synset-document-noun-1,wn30:synset-item-noun-1,","wn30:synset-exemplar-noun-1 - frame:Exemplar - frame:Instance
wn30:synset-document-noun-1 - frame:Documents - frame:Entity
","wn30:synset-item-noun-1
",
inferred_HOLDING4,27,Item label,[Item [C]] [label [P]] ,"frame:Labeling,","wn30:synset-item-noun-1,wn30:synset-label-verb-1,","wn30:synset-label-verb-1 - frame:Labeling - frame:Referring_by_name
","wn30:synset-item-noun-1
",
inferred_HOLDING1,91,Document broader exemplar is examplar of narrower Item,[Document [C]] [broader exemplar [P]] [is examplar of [P]] [narrower exemplar [P]] [Item [C]] ,"frame:Documents,frame:Exemplar,","wn30:synset-document-noun-1,wn30:synset-exemplar-noun-1,wn30:synset-item-noun-1,","wn30:synset-document-noun-1 - frame:Documents - frame:Entity
wn30:synset-exemplar-noun-1 - frame:Exemplar - frame:Instance
","wn30:synset-item-noun-1
",
inferred_ATLAS-OF-PATHS7,52,Route has route type Type,[Route [C]] [has route type [P]] [Route Type [C]] ,"frame:Path_traveled,frame:Path_traveled,frame:Type,frame:Type,","wn30:synset-path-noun-3,wn30:synset-path-noun-3,wn30:synset-type-noun-1,wn30:synset-type-noun-1,","wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-type-noun-1 - frame:Type
wn30:synset-type-noun-1 - frame:Type
",,
inferred_ATLAS-OF-PATHS2,52,Route name route length description long,[Route [C]] [name [P]] [route length [P]] [description [P]] [route long name [P]] ,"frame:Path_traveled,frame:Referring_by_name,frame:Being_named,frame:Path_traveled,frame:Dimension,frame:Communicate_categorization,frame:Duration_attribute,","wn30:synset-path-noun-3,wn30:synset-name-noun-1,wn30:synset-path-noun-3,wn30:synset-length-noun-1,wn30:synset-description-noun-1,wn30:synset-long-adjective-1,","wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-name-noun-1 - frame:Referring_by_name
wn30:synset-name-noun-1 - frame:Being_named
wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-length-noun-1 - frame:Dimension
wn30:synset-description-noun-1 - frame:Communicate_categorization
wn30:synset-long-adjective-1 - frame:Duration_attribute
",,
inferred_ATLAS-OF-PATHS6,52,Route Value has length,[Route [C]] [Value [C]] [has length [P]] ,"frame:Path_traveled,frame:Usefulness,frame:Dimension,","wn30:synset-path-noun-3,wn30:synset-value-noun-1,wn30:synset-length-noun-1,","wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-value-noun-1 - frame:Usefulness - frame:Attributes
wn30:synset-length-noun-1 - frame:Dimension
",,
inferred_ATLAS-OF-PATHS32,62,has travelling method Path Plan Temporal Entity Travelling is of trip plan best when,[has travelling method [P]] [Path Plan [C]] [Temporal Entity [C]] [Path [C]] [Travelling method [C]] [is travelling method of [P]] [has trip plan [P]] [best when [P]] ,"frame:Motion,frame:Travel,frame:Means,frame:Conduct,frame:Project,frame:Purpose,frame:Entity,frame:Motion,frame:Travel,frame:Travel,frame:Project,frame:Purpose,","wn30:synset-travel-verb-1,wn30:synset-method-noun-1,wn30:synset-way-noun-5,wn30:synset-plan-noun-1,wn30:synset-temporal-adjectivesatellite-1,wn30:synset-entity-noun-1,wn30:synset-travel-verb-1,wn30:synset-trip-noun-1,wn30:synset-plan-noun-1,wn30:synset-best-adjective-1,","wn30:synset-travel-verb-1 - frame:Motion - frame:Event
wn30:synset-travel-verb-1 - frame:Travel - frame:Event
wn30:synset-method-noun-1 - frame:Means
wn30:synset-way-noun-5 - frame:Conduct
wn30:synset-plan-noun-1 - frame:Project
wn30:synset-plan-noun-1 - frame:Purpose
wn30:synset-entity-noun-1 - frame:Entity
wn30:synset-travel-verb-1 - frame:Motion - frame:Event
wn30:synset-travel-verb-1 - frame:Travel - frame:Event
wn30:synset-trip-noun-1 - frame:Travel - frame:Event
wn30:synset-plan-noun-1 - frame:Project
wn30:synset-plan-noun-1 - frame:Purpose
",,"wn30:synset-temporal-adjectivesatellite-1
wn30:synset-best-adjective-1
"
inferred_ATLAS-OF-PATHS3,52,is crossed by Route crosses Spatial Object,[is crossed by [P]] [Route [C]] [crosses [P]] [Spatial Object [C]] ,"frame:Path_shape,frame:Traversing,frame:Body_movement,frame:Intentional_traversing,frame:Path_traveled,frame:Path_shape,frame:Traversing,frame:Body_movement,frame:Intentional_traversing,","wn30:synset-traverse-verb-1,wn30:synset-by-adverb-1,wn30:synset-path-noun-3,wn30:synset-traverse-verb-1,wn30:synset-spatial-adjective-1,wn30:synset-object-noun-1,","wn30:synset-traverse-verb-1 - frame:Path_shape
wn30:synset-traverse-verb-1 - frame:Traversing - frame:Event
wn30:synset-traverse-verb-1 - frame:Body_movement
wn30:synset-traverse-verb-1 - frame:Intentional_traversing - frame:Event
wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-traverse-verb-1 - frame:Path_shape
wn30:synset-traverse-verb-1 - frame:Traversing - frame:Event
wn30:synset-traverse-verb-1 - frame:Body_movement
wn30:synset-traverse-verb-1 - frame:Intentional_traversing - frame:Event
","wn30:synset-object-noun-1
","wn30:synset-by-adverb-1
wn30:synset-spatial-adjective-1
"
inferred_ATLAS-OF-PATHS5,69,is signposting of Signposting Path Stage has,[is signposting of [P]] [Signposting [C]] [Path Stage [C]] [has signposting [P]] ,"frame:Roadways,frame:Time_period_of_action,","wn30:synset-signpost-noun-1,wn30:synset-signpost-noun-1,wn30:synset-path-noun-2,wn30:synset-phase-noun-1,","wn30:synset-path-noun-2 - frame:Roadways - frame:Locale
wn30:synset-phase-noun-1 - frame:Time_period_of_action - frame:Timespan
","wn30:synset-signpost-noun-1
wn30:synset-signpost-noun-1
",
inferred_ATLAS-OF-PATHS28,38,with paving Quantified Pathway Paving,[with paving [P]] [Quantified Pathway Paving [C]] [Paving [C]] ,"frame:Filling,frame:Adorning,frame:Dimension,","wn30:synset-pave-verb-1,wn30:synset-quantify-verb-2,wn30:synset-nerve_pathway-noun-1,wn30:synset-paving-noun-1,","wn30:synset-pave-verb-1 - frame:Filling - frame:Event
wn30:synset-pave-verb-1 - frame:Adorning
wn30:synset-quantify-verb-2 - frame:Dimension
","wn30:synset-nerve_pathway-noun-1
wn30:synset-paving-noun-1
",
inferred_ATLAS-OF-PATHS31,52,has sub trip plan Route estimated duration route Duration is of Trip Plan super,[has sub trip plan [P]] [Route [C]] [has estimated duration [P]] [has route [P]] [Duration [C]] [is trip plan of [P]] [Trip Plan [C]] [has super trip plan [P]] [has trip plan [P]] ,"frame:Travel,frame:Project,frame:Purpose,frame:Path_traveled,frame:Estimating,frame:Path_traveled,frame:Travel,frame:Project,frame:Purpose,","wn30:synset-substitute-verb-2,wn30:synset-trip-noun-1,wn30:synset-plan-noun-1,wn30:synset-path-noun-3,wn30:synset-estimate-verb-1,wn30:synset-duration-noun-1,wn30:synset-path-noun-3,wn30:synset-duration-noun-1,wn30:synset-trip-noun-1,wn30:synset-plan-noun-1,wn30:synset-extremely-adverb-2,","wn30:synset-trip-noun-1 - frame:Travel - frame:Event
wn30:synset-plan-noun-1 - frame:Project
wn30:synset-plan-noun-1 - frame:Purpose
wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-estimate-verb-1 - frame:Estimating
wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-trip-noun-1 - frame:Travel - frame:Event
wn30:synset-plan-noun-1 - frame:Project
wn30:synset-plan-noun-1 - frame:Purpose
","wn30:synset-substitute-verb-2
wn30:synset-duration-noun-1
wn30:synset-duration-noun-1
","wn30:synset-extremely-adverb-2
"
inferred_ATLAS-OF-PATHS19,22,Support Service Type has service type is support of,[Support Service Type [C]] [has service type [P]] [is support service type of [P]] [Support Service [C]] ,"frame:Public_services,frame:Type,frame:Public_services,frame:Type,","wn30:synset-support-verb-1,wn30:synset-service-noun-1,wn30:synset-type-noun-1,wn30:synset-service-noun-1,wn30:synset-type-noun-1,wn30:synset-support-verb-1,","wn30:synset-service-noun-1 - frame:Public_services
wn30:synset-type-noun-1 - frame:Type
wn30:synset-service-noun-1 - frame:Public_services
wn30:synset-type-noun-1 - frame:Type
","wn30:synset-support-verb-1
wn30:synset-support-verb-1
",
inferred_ATLAS-OF-PATHS4,52,Route has route short name,[Route [C]] [has route [P]] [route short name [P]] ,"frame:Path_traveled,frame:Path_traveled,frame:Duration_attribute,frame:Dimension,frame:Referring_by_name,frame:Being_named,","wn30:synset-path-noun-3,wn30:synset-path-noun-3,wn30:synset-short-adjective-1,wn30:synset-name-noun-1,","wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-short-adjective-1 - frame:Duration_attribute
wn30:synset-short-adjective-1 - frame:Dimension
wn30:synset-name-noun-1 - frame:Referring_by_name
wn30:synset-name-noun-1 - frame:Being_named
",,
inferred_ATLAS-OF-PATHS29,73,Security Level is security level of has Pathway,[Security Level [C]] [is security level of [P]] [has security level [P]] [Pathway [C]] ,"frame:Being_at_risk,frame:Quantity,frame:Rank,frame:Being_at_risk,frame:Quantity,frame:Rank,","wn30:synset-security-noun-1,wn30:synset-degree-noun-1,wn30:synset-security-noun-1,wn30:synset-degree-noun-1,wn30:synset-nerve_pathway-noun-1,","wn30:synset-security-noun-1 - frame:Being_at_risk - frame:Attributes
wn30:synset-degree-noun-1 - frame:Quantity - frame:Dimension
wn30:synset-degree-noun-1 - frame:Rank
wn30:synset-security-noun-1 - frame:Being_at_risk - frame:Attributes
wn30:synset-degree-noun-1 - frame:Quantity - frame:Dimension
wn30:synset-degree-noun-1 - frame:Rank
","wn30:synset-nerve_pathway-noun-1
",
inferred_ATLAS-OF-PATHS30,69,stage ordering has member number Route position in sequence precedes follows directly of stages Path Stage,[stage ordering [P]] [has member [P]] [stage number [P]] [Route [C]] [position in sequence [P]] [precedes [P]] [follows [P]] [directly precedes [P]] [number of stages [P]] [Path Stage [C]] [directly follows [P]] [Stage [C]] ,"frame:Time_period_of_action,frame:Membership,frame:Quantity,frame:Path_traveled,frame:Locative_relation,frame:Sequence,frame:Relative_time,frame:Forgoing,frame:Time_period_of_action,frame:Path_traveled,frame:Time_period_of_action,","wn30:synset-phase-noun-1,wn30:synset-ordering-noun-1,wn30:synset-member-noun-1,wn30:synset-number-noun-1,wn30:synset-path-noun-3,wn30:synset-position-noun-1,wn30:synset-in-adverb-1,wn30:synset-sequence-noun-1,wn30:synset-predate-verb-1,wn30:synset-follow-verb-1,wn30:synset-directly-adverb-1,wn30:synset-phase-noun-1,wn30:synset-path-noun-3,wn30:synset-phase-noun-1,","wn30:synset-phase-noun-1 - frame:Time_period_of_action - frame:Timespan
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included
wn30:synset-number-noun-1 - frame:Quantity - frame:Dimension
wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-position-noun-1 - frame:Locative_relation - frame:Stateframe:Relation
wn30:synset-sequence-noun-1 - frame:Sequence - frame:Relation
wn30:synset-predate-verb-1 - frame:Relative_time - frame:Relation
wn30:synset-predate-verb-1 - frame:Forgoing
wn30:synset-phase-noun-1 - frame:Time_period_of_action - frame:Timespan
wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-phase-noun-1 - frame:Time_period_of_action - frame:Timespan
","wn30:synset-ordering-noun-1
wn30:synset-follow-verb-1
","wn30:synset-in-adverb-1
wn30:synset-directly-adverb-1
"
inferred_ATLAS-OF-PATHS18,69,Path Organization is governance organ of has,[Path [C]] [Organization [C]] [is governance organ of [P]] [has governance organ [P]] ,"frame:Conduct,","wn30:synset-way-noun-5,wn30:synset-administration-noun-2,wn30:synset-administration-noun-2,wn30:synset-organ-noun-1,","wn30:synset-way-noun-5 - frame:Conduct
","wn30:synset-administration-noun-2
wn30:synset-administration-noun-2
wn30:synset-organ-noun-1
",
inferred_ATLAS-OF-PATHS1,52,has alternative route Route preferred is of deviation Measurement Unit Organization Of Geometry description Type Temporal Coverage,[has alternative route [P]] [Route [C]] [has preferred route [P]] [is route of [P]] [is deviation of [P]] [has Measurement Unit [P]] [has Organization [P]] [is Organization Of [P]] [has Geometry [P]] [is alternative route of [P]] [description [P]] [has deviation [P]] [is preferred route of [P]] [has Geometry Type [P]] [has Temporal Coverage [P]] ,"frame:Possibilities,frame:Path_traveled,frame:Path_traveled,frame:Organization,frame:Communicate_categorization,frame:Type,","wn30:synset-option-noun-2,wn30:synset-path-noun-3,wn30:synset-path-noun-3,wn30:synset-prefer-verb-1,wn30:synset-deviation-noun-1,wn30:synset-measurement-noun-1,wn30:synset-unit_of_measurement-noun-1,wn30:synset-organization-noun-1,wn30:synset-geometry-noun-1,wn30:synset-description-noun-1,wn30:synset-type-noun-1,wn30:synset-temporal-adjectivesatellite-1,wn30:synset-coverage-noun-1,","wn30:synset-option-noun-2 - frame:Possibilities
wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-organization-noun-1 - frame:Organization - frame:Aggregate
wn30:synset-description-noun-1 - frame:Communicate_categorization
wn30:synset-type-noun-1 - frame:Type
","wn30:synset-prefer-verb-1
wn30:synset-deviation-noun-1
wn30:synset-measurement-noun-1
wn30:synset-unit_of_measurement-noun-1
wn30:synset-geometry-noun-1
wn30:synset-coverage-noun-1
","wn30:synset-temporal-adjectivesatellite-1
"
inferred_ATLAS-OF-PATHS11,0,Entity follows precedes directly,[Entity [C]] [follows [P]] [precedes [P]] [directly precedes [P]] [directly follows [P]] ,"frame:Entity,frame:Relative_time,frame:Forgoing,","wn30:synset-entity-noun-1,wn30:synset-follow-verb-1,wn30:synset-predate-verb-1,wn30:synset-directly-adverb-1,","wn30:synset-entity-noun-1 - frame:Entity
wn30:synset-predate-verb-1 - frame:Relative_time - frame:Relation
wn30:synset-predate-verb-1 - frame:Forgoing
","wn30:synset-follow-verb-1
","wn30:synset-directly-adverb-1
"
inferred_ATLAS-OF-PATHS8,52,Route route estimated duration,[Route [C]] [route estimated duration [P]] ,"frame:Path_traveled,frame:Path_traveled,frame:Estimating,","wn30:synset-path-noun-3,wn30:synset-path-noun-3,wn30:synset-estimate-verb-1,wn30:synset-duration-noun-1,","wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-path-noun-3 - frame:Path_traveled
wn30:synset-estimate-verb-1 - frame:Estimating
","wn30:synset-duration-noun-1
",
