community,cluster,doc,annotateddoc,frame,synset,synsetframe triplet,noun/verb w/o frame,adj/adv w/o frame
inferred_ARM_full14,22,has handwriting type Handwriting,[has handwriting type [P]] [Handwriting type [C]] ,"frame:Type,","wn30:synset-handwriting-noun-1,wn30:synset-type-noun-1,wn30:synset-handwriting-noun-1,","wn30:synset-type-noun-1 - frame:Type
","wn30:synset-handwriting-noun-1
wn30:synset-handwriting-noun-1
",
inferred_ARM_full4,99,received by receives Award receipt,[received by [P]] [receives [P]] [Award receipt [C]] ,"frame:Receiving,frame:Receiving,frame:Receiving,","wn30:synset-receive-verb-1,wn30:synset-by-adverb-1,wn30:synset-receive-verb-1,wn30:synset-award-noun-1,wn30:synset-reception-noun-4,","wn30:synset-receive-verb-1 - frame:Receiving - frame:Event
wn30:synset-receive-verb-1 - frame:Receiving - frame:Event
wn30:synset-reception-noun-4 - frame:Receiving - frame:Event
","wn30:synset-award-noun-1
","wn30:synset-by-adverb-1
"
inferred_ARM_full10,0,Exhibition is exhibition of has,[Exhibition [C]] [is exhibition of [P]] [has exhibition [P]] ,"none,","wn30:synset-exhibition-noun-1,wn30:synset-exhibition-noun-1,",,"wn30:synset-exhibition-noun-1
wn30:synset-exhibition-noun-1
",
inferred_ARM_full15,94,has signature statement Signature,[has signature statement [P]] [Signature statement [C]] ,"frame:Sign_agreement,frame:Statement,frame:Sign_agreement,","wn30:synset-signature-noun-1,wn30:synset-statement-noun-1,wn30:synset-signature-noun-1,","wn30:synset-signature-noun-1 - frame:Sign_agreement - frame:Event
wn30:synset-statement-noun-1 - frame:Statement
wn30:synset-signature-noun-1 - frame:Sign_agreement - frame:Event
",,
inferred_ARM_full5,75,Accession number Custodial event accessions,[Accession number [C]] [Custodial event [C]] [accessions [P]] ,"frame:Having_or_lacking_access,frame:Quantity,frame:Event,frame:Having_or_lacking_access,","wn30:synset-entree-noun-2,wn30:synset-number-noun-1,wn30:synset-custodial-adjectivesatellite-1,wn30:synset-event-noun-1,wn30:synset-entree-noun-2,","wn30:synset-entree-noun-2 - frame:Having_or_lacking_access - frame:Attributesframe:Possibility
wn30:synset-number-noun-1 - frame:Quantity - frame:Dimension
wn30:synset-event-noun-1 - frame:Event - frame:State
wn30:synset-entree-noun-2 - frame:Having_or_lacking_access - frame:Attributesframe:Possibility
",,"wn30:synset-custodial-adjectivesatellite-1
"
FENTRY2,87,photograph shot realization Of,[photograph [C]] [shot [C]]   ,"frame:Representing,frame:Create_representation,","wn30:synset-photograph-noun-1,wn30:synset-photograph-verb-1,wn30:synset-realization-noun-1,","wn30:synset-photograph-noun-1 - frame:Representing
wn30:synset-photograph-verb-1 - frame:Create_representation
","wn30:synset-realization-noun-1
",
FENTRY1,91,generated has Manifestation is described by subject Portrayal was Associated With part Of exemplar Attributed To,[generated [P]] [has Manifestation [P]] [is described by [P]] [subject [P]] [has Portrayal [P]] [was Associated With [P]] [part Of [P]] [exemplar [P]] [was Attributed To [P]] ,"frame:Communicate_categorization,frame:Topic,frame:Membership,frame:Exemplar,","wn30:synset-generate-verb-1,wn30:synset-manifestation-noun-1,wn30:synset-describe-verb-1,wn30:synset-by-adverb-1,wn30:synset-subject-noun-1,wn30:synset-portrayal-noun-1,wn30:synset-part-noun-1,wn30:synset-exemplar-noun-1,wn30:synset-impute-verb-1,","wn30:synset-describe-verb-1 - frame:Communicate_categorization
wn30:synset-subject-noun-1 - frame:Topic
wn30:synset-part-noun-1 - frame:Membership - frame:Being_included
wn30:synset-exemplar-noun-1 - frame:Exemplar - frame:Instance
","wn30:synset-generate-verb-1
wn30:synset-manifestation-noun-1
wn30:synset-portrayal-noun-1
wn30:synset-impute-verb-1
","wn30:synset-by-adverb-1
"
inferred_ROAR5,34,Observation Document documentedIn prov:Entity,[Observation [C]] [Document [C]] [documentedIn [P]] [prov:Entity [C]] ,"frame:Documents,frame:Entity,","wn30:synset-observation-noun-1,wn30:synset-document-noun-1,wn30:synset-entity-noun-1,","wn30:synset-document-noun-1 - frame:Documents - frame:Entity
wn30:synset-entity-noun-1 - frame:Entity
","wn30:synset-observation-noun-1
",
inferred_ROAR14,62,prov:Plan prov:Agent prov:hadPlan prov:Association,[prov:Plan [C]] [prov:Agent [C]] [prov:hadPlan [P]] [prov:Association [C]] ,"frame:Project,frame:Purpose,frame:Organization,","wn30:synset-plan-noun-1,wn30:synset-agent-noun-1,wn30:synset-association-noun-1,","wn30:synset-plan-noun-1 - frame:Project
wn30:synset-plan-noun-1 - frame:Purpose
wn30:synset-association-noun-1 - frame:Organization - frame:Aggregate
","wn30:synset-agent-noun-1
",
inferred_ROAR11,19,prov:Activity prov:Agent prov:wasAssociatedWith,[prov:Activity [C]] [prov:Agent [C]] [prov:wasAssociatedWith [P]] ,"frame:Intentionally_act,","wn30:synset-activity-noun-1,wn30:synset-agent-noun-1,","wn30:synset-activity-noun-1 - frame:Intentionally_act - frame:Event
","wn30:synset-agent-noun-1
",
